đầu tư trực tiếp nước ngoài theo ngành 1988-2005					
(tính tới ngày 22/8/2005 - chỉ tính các dự án còn hiệu lực)					
					
STT	Chuyên ngành	Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
5	Bà Rịa-Vũng Tàu 	118	2176444896	817678111	1223321667
6	Hải Phòng 	176	1941254720	784466904	1216461379
7	Dầu khí 	28	1913191815	1406191815	4587290313
8	Vĩnh Phúc 	82	708787872	284546809	413584049
9	Thanh Hóa 	17	702692339	218051061	411093608
10	Long An 	92	674626165	276473780	289577031
11	Hải Dương 	72	627498408	257015816	374935691
12	Quảng Ninh 	77	492165030	240311554	303063291
13	Kiên Giang 	9	454538000	199478000	394290402
14	Đà Nẵng 	67	430674835	195063635	158916484
15	Hà Tây 	40	423167092	179482622	220629589
16	Khánh Hòa 	58	400736076	147134802	300502141
17	Tây Ninh 	93	353014785	251910928	181932650
18	Phú Thọ 	40	286722987	157720569	195568720
19	Nghệ An 	16	254230064	110312521	109494123
20	Phú Yên 	33	245906313	117418655	68142280
21	Quảng Nam 	36	225796571	100318733	51452413
22	Bắc Ninh 	34	212251446	91798261	157661650
23	Thái Nguyên 	19	209960472	82323472	23132565
24	Thừa Thiên-Huế 	30	200381462	87179899	143600118
25	Hưng Yên 	49	199137242	89229911	119364141
26	Lâm Đồng 	67	187830862	128064563	134955148
27	Bình Thuận 	39	173571683	68548064	33340913
28	Cần Thơ 	32	111698676	60942050	52127357
29	Lạng Sơn 	25	84637900	40977900	17201061
30	Tiền Giang 	11	82181276	34807309	93994982
31	Nam Định 	11	69599022	29752142	6547500
32	Ninh Bình 	7	65807779	26494629	6100000
33	Lào Cai 	29	41856733	26546187	23451201
34	Hòa Bình 	12	41651255	16421574	12861062
35	Bình Phước 	15	40955000	25213640	13784220
36	Quảng Trị 	8	40127000	17697100	4288840
37	Bình Định 	15	38712000	20567000	20805000
38	Quảng Ngãi 	9	38463689	17430000	12816032
39	Thái Bình 	14	35190506	12757200	1780000
40	Quảng Bình 	4	32333800	9733800	25490197
41	Hà Tĩnh 	7	30595000	11890000	1595000
42	Ninh Thuận 	8	30471000	12908839	6040442
43	Tuyên Quang 	2	26000000	5500000	0
44	Vĩnh Long 	8	25495000	11985000	9141630
45	Bạc Liêu 	6	25178646	13922687	23993658
46	Sơn La 	5	25070000	9171000	10670898
47	Bắc Giang 	22	23050320	16286320	12555893
48	Gia Lai 	5	20500000	10660000	19100500
49	Yên Bái 	9	18500688	11347081	7197373
50	Bắc Cạn 	5	15906667	6538667	3220331
51	Đắc Lắc 	2	15232280	4518750	15232280
52	Kon Tum 	3	15080000	10015000	1800000
53	An Giang 	3	14831895	4516000	14813401
54	Bến Tre 	5	10994048	4954175	3550397
55	Cao Bằng 	5	9570000	6270000	200000
56	Đắc Nông 	5	8350770	3391770	3074738
57	Đồng Tháp 	8	7203037	5733037	1514970
58	Trà Vinh 	4	6606636	6442636	917147
